organismCode,antibioticCode,freq
CNS,ACIP,4472
ECOL,AAMI,2874
SAUR,ACIP,1565
CNS,ACLI,590
ENTC,AAMO,566
KPNE,AAMI,539
PAER,AAMI,492
AHS,ACLI,312
KLEBS,AAMI,308
ECOL,AAMO,276
BHSB,ACLI,275
SPNE,AERY,247
EFAS,AAMO,232
MICROC,ACIP,222
SEPI,ACIP,212
CORYN,ACIP,159
SMAL,ACOT,147
ENTB,AAMI,140
PMIR,AAMI,132
EFAM,AAMO,128
ECLO,AAMI,124
SMAR,AAMI,93
KOXY,AAMI,93
KLEBS,AAMO,86
BHSA,ACLI,83
AHS,AAMO,79
BHSCG,ACLI,76
SALMO,AAMI,74
PROTE,AAMI,73
A_ANAEROBE,AMTZ,72
ACINE,AAMI,71
PSEUD,AAMI,71
SMIL,ACLI,67
SERRA,AAMI,67
SORA,ACLI,60
BACIL,ACIP,57
CORYN,ACLI,54
HINF,AAMO,48
SSAL,ACLI,47
ABAU,AAMI,44
PAER,ACAZ,43
ENTAE,AAMI,43
CITRO,AAMI,42
MMOR,AAMI,39
COLIF,AAMI,36
SPNE,AAMO,36
CKOS,AAMI,35
SAUR,ACLI,31
STREP,ACLI,31
DIPHT,ACIP,30
BHSG,ACLI,28
CFRE,AAMI,27
SSAN,ACLI,26
NMEN,ACHL,26
STAPH,ACIP,26
PROTE,AAMO,26
SHAEM,ACIP,25
ENTB,AAMO,24
ALWO,AAMI,23
MICROC,ACLI,23
SPNE,ACTX,22
SPNE,ACLI,20
QGPCN,ACIP,20
VIRST,ACLI,19
BHSB,AAMO,19
SANG,ACLI,18
BREVI,ACIP,18
AXYL,AAMI,18
SMIT,ACLI,17
SMAL,AAMI,17
A_SMUTANS,ACLI,16
BFRA,AMTZ,16
A_SVIRIDANS,ACLI,15
BCEP,AAMI,15
BHSC,ACLI,14
BCER,ACIP,14
SALMO,AAMO,13
SPNE,APEN,13
BFRA,AAUG,13
RMUC,ACLI,13
SERRA,AAMO,13
AEROM,AAMI,12
ROTH,ACIP,12
SPARAS,ACLI,12
CALB,AAMPH,11
BACIL,ACLI,11
A_ANAEROBE,AAUG,11
SPNE,ACONE,10
BHSA,AAMO,10
PSEUD,ACAZ,10
SLUG,ACIP,10
ACINE,AAMO,9
CLOST,AMTZ,9
RRAD,AAMI,9
PSTU,AAMI,9
ACHRO,AAMI,9
ROTH,ACLI,8
BACTE,AMTZ,8
MCAT,AAMO,8
SAGA,ACLI,8
QGNBN,AAMI,8
CJEJ,ACIP,8
SPYO,ACLI,8
SCON,ACLI,8
CPER,AMTZ,8
CAMPY,ACIP,8
A_LACTOBAC,ACIP,7
FNEC,AMTZ,7
HALV,AAMI,7
AHS,AERY,7
EGAL,AAMO,7
DACI,AAMI,7
ABAU,AAMO,6
RORN,AAMI,6
SSAP,ACIP,6
CITRO,AAMO,6
BACTE,AAUG,6
SAUR,AOXA,6
SGOR,ACLI,6
NHS,ACLI,6
LMON,ACIP,6
MICROC,AERY,6
A_RAOULTEL,AAMO,6
RMUC,ACIP,6
CSTR,ACIP,6
AHS,APEN,6
CIND,AAMI,5
BHSCG,AAMO,5
CJEI,ACIP,5
QGPCA,ACIP,5
SAUR,ADAP,5
NLF,AAMI,5
A_STYPHI,AAMI,5
LFC,AAMI,5
NFLA,AAMO,5
PROPI,ACIP,5
A_SBOVIS,ACLI,5
A_MICROBAC,ACIP,5
STREP,AAMO,5
LMON,AAMO,4
A_ACTINOMY,ACIP,4
A_EAVIUM,AAMO,4
SINT,ACLI,4
BOVA,AMTZ,4
NEISS,ACHL,4
SMIL,AAMO,4
A_AGNB,AMTZ,4
MORAX,AAMO,4
ECASS,AAMO,4
A_CHOMINIS,AAMI,4
A_CHRYSEOB,AAMI,4
PSEUD,AAMO,4
HPIN,AAMO,4
QGNBA,AAMI,4
PAER,AAZT,4
PSTUA,AAMI,4
CNS,ATEI,4
PAENI,ACIP,4
A_CLUSITANI,AAMPH,4
BCER,AAMO,4
BFRA,AAMO,4
AHS,ACONE,4
A_CMINUTISS,ACIP,4
A_PROVIDEN,AAMI,4
NEISS,AAMO,4
