organismCode,antibioticCode,freq
ECOL,AAUG,67204
ENTC,AAMO,21060
COLIF,AAUG,14709
ECOL,AAMI,9345
PAER,AAMI,2900
BHSB,AAMO,2849
PROTE,AAUG,2079
PMIR,AAUG,1958
CNS,AAUG,1480
KPNE,AAMI,1055
PSEUD,AAMI,962
PAER,ACAZ,881
SAUR,AAUG,811
SSAP,AAUG,789
COLIF,AAMI,752
MMOR,AAMI,714
ENTB,AAMI,709
CNS,ACIP,635
ECLO,AAMI,626
BHSB,AAUG,602
KLEBS,AAMI,538
ENTAE,AAMI,409
PROTE,AAMI,343
BHSB,ACLI,341
PMIR,AAMI,329
PSEUD,ACAZ,299
SAUR,ACIP,298
SSAP,ACIP,268
KPNE,AAUG,224
CFRE,AAMI,206
SMAR,AAMI,196
EFAS,AAMO,175
EFAM,AAMO,165
CITRO,AAMI,153
SERRA,AAMI,119
ECOL,AAMO,89
ACINE,AAMI,89
ABAU,AAMI,88
ECOL,ACELX,86
CKOS,AAUG,84
BHSB,ANIT,78
KLEBS,AAUG,71
SMAL,ACOT,70
MMOR,AAUG,69
ACINE,AAUG,63
SSAP,AAMO,55
KOXY,AAMI,51
COLIF,AAMO,50
SAUR,ACLI,48
PVUL,AAMI,45
SEPI,AAUG,42
AHS,AAMO,37
BHSA,AAMO,36
ENTC,AAUG,34
KOXY,AAUG,31
CITRO,AAUG,31
PSTUA,AAMI,30
ALWO,AAUG,29
ECLO,AAUG,29
CNS,AAMO,28
ENTB,AAUG,24
PRET,AAUG,23
PPUT,AAMI,22
ENTAE,AAUG,22
AHS,AAUG,22
BHSCG,AAMO,21
PRET,AAMI,21
SHAEM,AAMO,20
ALWO,AAMI,20
SMAL,AAUG,20
SEPI,ACIP,18
BHSB,ACELX,18
ECOL,AAMPC,17
CFRE,AAUG,17
A_PROVIDEN,AAMI,17
A_ANAEROBE,AMTZ,17
AHS,ACLI,16
PVUL,AAUG,15
ENTC,ANIT,14
ENTC,ATEI,14
LFC,AAUG,14
CKOS,AAMI,14
COLIF,ACELX,14
SMAL,AAMI,14
CNS,ACLI,12
BHSB,AERY,11
CORYN,AAUG,11
PSEUD,AAUG,11
BHSA,AAUG,10
A_MBG,AAUG,10
MCOL,AAUG,9
SLIQ,AAMI,9
SHAEM,AAUG,9
ABAU,AAUG,8
STAPH,AAUG,8
SMIL,AAMO,8
CORYN,ACIP,8
A_PROVIDEN,AAUG,8
A_LACTOBAC,AAMO,7
MCOL,AAMI,7
ECOL,ACIP,7
STREP,AAUG,7
STREP,AAMO,7
SHAEM,ACIP,7
BHSCG,ACLI,6
SAGA,AAMO,6
ENTC,AVAN,6
PSEUD,ACIP,6
A_SBOVIS,AAMO,6
AFAE,AAMI,6
STAPH,ACIP,6
SAUR,AAMO,5
STREP,ACLI,5
COLIF,AAMPC,5
ENTC,AAMI,5
EASB,AAMI,5
CALB,AAMPH,5
NLF,AAUG,5
AXYL,AAMI,5
BCEP,AAMI,5
CGLA,AAMPH,5
BHSCG,AAUG,5
AEROM,AAMI,5
NGON,ACIP,4
PROTE,ACELX,4
SMIL,AAUG,4
PSTUA,AAUG,4
SMIT,ACLI,4
SMIT,AAUG,4
ECOL,AERT,4
BHS,AAMO,4
ACINE,ACIP,4
BCER,ACIP,4
BHSCG,AERY,4
CBRA,AAMI,4
BHSA,AERY,4
AEROC,AAMO,4
BHSA,ACLI,4
CSTR,AAUG,4
PMIR,ACELX,3
YEAST,AAMPH,3
AHS,ACELX,3
AERU,AAMO,3
AVIR,AAUG,3
AEROC,ACLI,3
LFC,AAMO,3
SMIT,AAMO,3
A_SVIRIDANS,AAMO,3
LFC,AAMI,3
ACHRO,AAMI,3
VIRST,AAMO,3
SMAR,AAUG,3
KPNE,AERT,2
NGON,AAZI,2
KPNE,ACELX,2
A_ISOLATED,AAUG,2
A_HAFNIA S,AAUG,2
A_ARADIORES,AAUG,2
BACIL,AAMO,2
MMOR,AAMO,2
MMOR,AAMPC,2
SHAEM,ACELX,2
A_LACTOBAC,ACIP,2
SERRA,AAUG,2
NLF,AAMI,2
A_LACTOBAC,AAUG,2
A_SODORIFER,AAMI,2
A_LACTOBAC,ACLI,2
A_CPARAPSIL,AAMPH,2
A_EAVIUM,AAMO,2
A_PFLUORESC,AAMI,2
SAUR,ACELX,2
PSTU,AAMI,2
A_ECOLI,AAMI,2
SALMO,AAMO,2
A_MBG,AAMI,2
SAGA,ACLI,2
SAGA,AAUG,2
PAER,ACIP,2
CSTR,ACIP,2
CIND,AAMI,2
EASB,AAUG,2
SSAP,ACELX,2
EFAS,AAMI,2
AEROC,AAUG,2
ENTB,AAMO,2
ENTB,AAMPC,2
SSAL,AAMO,2
ENTB,AERT,2
CNS,ACELX,2
EFAM,ATIG,2
ECLO,AAMO,2
COLIF,ACIP,2
EFAM,ANIT,2
AHYD,AAMI,2
DIPHT,ACIP,2
DIPHT,AAUG,2
KLEBS,AAMPC,2
DACI,AAMI,2
HAEMO,AAMO,2
HALV,AAMI,2
AHS,ACIP,2
HINF,AAMO,2
SSAP,ACLI,1
ROTH,AAMO,1
A_EAVIUM,AAUG,1
A_FLAVOBAC,AAUG,1
ACINE,ACELX,1
A_ELUDWIGII,AAMI,1
STREP,ACIP,1
STREP,AERY,1
YEAST,AAMI,1
SALMO,AAUG,1
SMAR,AFOS,1
SAUR,AMUP,1
A_CTESTOSTE,AAMI,1
QMIXY,AAMO,1
AHS,APEN,1
ALWO,AAMO,1
ALWO,ACIP,1
SMAL,AAMO,1
SMIT,AERY,1
SLUG,AAUG,1
SORA,ACLI,1
SPARAS,AAMO,1
SPYO,AAUG,1
A_BSGD,AAUG,1
A_CGUILLIER,AAMPH,1
A_CHRYSEOB,AAMI,1
SSAL,AAUG,1
A_CHRYSEOM,AAMI,1
AHYD,AAUG,1
A_CLUSITANI,AAMPH,1
QMIXY,AAUG,1
PANTO,AAMI,1
QMCOL,AAUG,1
KLEBS,AERT,1
BHSC,AAMO,1
BHSC,AAUG,1
ENTC,ATRI,1
BHSC,ANIT,1
ENTC,AGEN,1
BHSCG,ANIT,1
BHSG,AAMO,1
CAMA,AAMI,1
CAMA,AAUG,1
CBRA,AAUG,1
EFAS,AGEN,1
CITRO,AAMO,1
EFAM,AVAN,1
EFAM,AAUG,1
CITRO,AERT,1
ECOL,ATRI,1
ECOL,ATIG,1
ECOL,AGEN,1
ABAU,AAMO,1
CKEF,AAMPH,1
CKRU,AAMPH,1
