organismCode,antibioticCode,freq
SAUR,ACIP,34205
PAER,AAMI,8209
SAUR,ACLI,4689
NGON,AAZI,4044
BHSB,ACLI,3817
ENTC,AAMO,2964
PAER,ACAZ,2265
BHSCG,ACLI,2031
COLIF,AAMO,2019
CNS,ACIP,1751
A_ANAEROBE,AMTZ,1744
PSEUD,AAMI,1639
BHSA,ACLI,1461
ECOL,AAMI,1426
NGON,ACIP,1183
LFC,AAMO,1130
A_MANAEROBE,AMTZ,1012
COLIF,AAMI,915
ECOL,AAMO,826
SMIL,ACLI,762
PROTE,AAMO,741
ECLO,AAMI,638
ENTB,AAMI,609
PSEUD,ACAZ,591
KPNE,AAMI,540
EFAS,AAMO,481
ENTB,AAMO,406
SMAL,ACOT,375
ACINE,AAMI,367
BHSCG,AERY,346
KLEBS,AAMI,343
A_ISOLATED,AMTZ,312
BHSB,AERY,309
ECLO,AAMO,287
LFC,AAMI,280
BHSC,ACLI,274
ABAU,AAMI,271
KPNE,AAMO,248
PROTE,AAMI,231
BHSA,AERY,225
PMIR,AAMO,224
SMAR,AAMI,186
KLEBS,AAMO,178
SERRA,AAMI,172
AHS,ACLI,165
MMOR,AAMI,159
ALWO,AAMI,156
SAUR,ACHL,152
PMIR,AAMI,138
ACINE,AAMO,133
SERRA,AAMO,130
CORYN,ACIP,126
SPNE,AERY,116
CKOS,AAMO,112
CITRO,AAMO,110
EFAM,AAMO,109
MMOR,AAMO,108
CITRO,AAMI,100
BACIL,ACIP,99
KOXY,AAMI,98
CNS,ACLI,95
ENTAE,AAMI,92
PSTU,AAMI,88
SAUR,AMET,81
CKOS,AAMI,81
NLF,AAMO,80
NMEN,AAZI,80
SMAR,AAMO,79
KOXY,AAMO,78
ALWO,AAMO,69
BCER,ACIP,65
BFRA,AMTZ,64
CFRE,AAMI,55
AHS,AERY,53
SANG,ACLI,50
BACIL,ACLI,49
A_NYI,ACIP,48
SMIL,AERY,47
BHSG,ACLI,44
A_NYI,AMTZ,43
ENTAE,AAMO,43
HINF,AAMO,41
A_SFLORA,AMTZ,38
ABAU,AAMO,35
NMEN,ACIP,34
SEPI,ACIP,34
SAUR,ABAC,33
A_NYI,ACLI,33
QMAN,AMTZ,32
BACTE,AMTZ,31
SCON,ACLI,30
A_NYI,AAMI,30
STAPH,ACIP,28
HPIN,AAMO,27
CFRE,AAMO,27
A_PASTEURE,AAMO,26
HAEMO,AAMO,25
CSTR,ACIP,25
PANTO,AAMI,25
PAER,ACIP,25
A_ASTREPTOC,AMTZ,23
A_SFLORA,AAMI,23
A_SFLORA,ACIP,23
A_SFLORA,ACLI,23
NMEN,ACHL,22
ENTC,ATEI,21
AEROM,AAMI,21
PMUL,AAMO,20
SORA,ACLI,19
PANTO,AAMO,19
NLF,AAMI,19
ACHRO,AAMI,18
A_MSFAC,AMTZ,18
PBIV,AMTZ,16
SPNE,ACHL,16
A_SFLORA,AAMO,16
PORI,AAMI,16
CPER,AMTZ,16
PVUL,AAMO,15
YEAST,AAMI,15
SINT,ACLI,15
SMAL,AAMI,15
MODO,AAMI,15
A_NYI,AAMO,14
SHAEM,ACIP,13
MICROC,ACIP,13
COLIF,ACIP,12
YEAST,ACIP,12
MCAT,AAUG,12
MCOL,ACLI,12
A_PASTEURE,AAMI,12
AXYL,AAMI,12
SAUR,AAMI,12
PMUL,AAMI,11
BHSB,AAMO,11
A_ACOCCUS,AMTZ,10
BHS,ACLI,10
PVUL,AAMI,10
MCAT,AAMO,10
VIRST,ACLI,10
DIPHT,ACIP,10
PPUT,AAMI,10
SMAL,ACAZ,9
CLOST,AMTZ,9
SMIT,ACLI,9
AFAE,AAMI,9
BHSB,ACIP,9
NEISS,AAMO,9
A_NSF,AMTZ,9
MORAX,AAMO,8
MCOL,AAMI,8
CORYN,ACLI,8
A_NFIC,ACLI,8
CALB,AAMPH,8
A_MSFAC,ACLI,8
AEROM,AAMO,8
BHSA,ACHL,8
A_PROVIDEN,AAMI,8
AHYD,AAMI,8
PROTE,ACIP,7
STREP,ACLI,7
SLIQ,AAMO,7
SLUG,ACIP,7
EASB,AAMO,7
A_PROVIDEN,AAMO,7
LFC,ACIP,7
ENTC,AAMI,7
A_MSFAC,ACIP,7
A_ARADIORES,AAMI,6
A_NFIC,AMTZ,6
PSEUD,AAMO,6
EASB,AAMI,6
EFAS,AAMI,6
ABAU,ACIP,6
YEAST,AMTZ,6
SMIL,AAMO,6
HALV,AAMO,6
BHSCG,ACIP,6
HALV,AAMI,6
PSTUA,AAMO,5
SMAL,AAMO,5
PROPI,ACIP,5
YEAST,AAMO,5
A_ESCHERIC,AAMI,5
SAUR,AMUP,5
A_EAVIUM,AAMO,5
ACINE,ACIP,5
MORAX,AAUG,5
ENTC,AGEN,5
BHSCG,AAMI,5
AXYL,AAMO,5
EFAS,ATEI,5
AHS,AAMO,5
PSEUD,ACIP,5
SPYO,ACLI,5
A_SPORCINUS,ACLI,5
A_MSFAC,AAMI,5
CGLA,AAMPH,4
CBRA,AAMI,4
YEAST,ACLI,4
A_ESCHERIC,AAMO,4
BOVA,AMTZ,4
MCOL,ACIP,4
MCOL,AAMO,4
A_PALCALIGE,AAMI,4
CNS,AAMO,4
SPARAS,ACLI,4
A_PREVOTEL,AMTZ,4
PRET,AAMO,4
A_NFLORA,ACLI,4
PROTE,AMTZ,4
PSTUA,AAMI,4
SPNE,ACTX,4
EGAL,AAMO,4
BHSA,ACIP,4
RORN,AAMI,4
A_ISOLATED,ACLI,4
A_NFIC,AAMI,4
A_ISOLATED,ACIP,4
ACHRO,AAMO,4
PANA,AMTZ,3
ACHRO,ACAZ,3
PPUT,AAMO,3
SPNE,ABAC,3
SAUR,AMTZ,3
EFAS,ACIP,3
A_ANAEROBE,AAUG,3
ENTC,ACLI,3
SAUR,AERY,3
ENTC,AVAN,3
DACI,AAMI,3
AVIR,AAMO,3
KLUYV,AAMI,3
MCOL,AMTZ,3
CAMA,AAMI,3
CBRA,AAMO,3
AHS,ACHL,3
AFAE,AAMO,3
BHSB,AAMI,3
BCER,AMET,3
A_NFLORA,ACIP,3
BCER,ACLI,3
BCEP,AAMI,3
NHS,ACLI,3
BACIL,AAMO,3
NMEN,AAZT,3
A_NSF,ACIP,3
BHSG,AERY,3
NEISS,ACHL,3
RORN,AAMO,3
A_NFIC,ACIP,3
PAER,ACLI,3
A_RTERRIGEN,AAMI,3
SSAL,ACLI,3
A_ELUDWIGII,AAMI,3
ENTC,ACIP,3
CJEI,ACIP,3
A_RAOULTEL,AAMI,3
A_ACTINOMY,ACLI,3
PSEUD,AMTZ,2
NGON,ACIX,2
SPNE,ACLI,2
PROTE,ACLI,2
PAENI,ACIP,2
PAER,AAMO,2
STREP,AAMO,2
HINF,AAUG,2
NEISS,AAZI,2
SLIQ,AAMI,2
LFC,AMTZ,2
PAER,AMTZ,2
SAUR,AAMO,2
SANG,AERY,2
SEQU,ACLI,2
KOXY,ACOT,2
QMCOL,AAMO,2
PAER,AAZT,2
SSAP,ACIP,2
QMCOL,AAMI,2
MICROC,AERY,2
MLFC,ACLI,2
MORAX,AAMI,2
LFC,ACLI,2
SALMO,AAMI,2
YSTPCA,AMTZ,2
A_GVAGINALI,AMTZ,2
CNS,ACHL,2
A_AHAEMOLYT,AAMI,2
BHSB,ACHL,2
A_MIXED GR,AMTZ,2
A_AHAEMOLYT,ACIP,2
A_CHRYSEOB,AAMI,2
A_HAPHROPHI,AAMO,2
COLIF,ACLI,2
A_SVIRIDANS,ACLI,2
A_ALCALIGE,AAMO,2
A_ACTINOMY,AMTZ,2
A_BSGF,ACLI,2
CNS,AAMI,2
A_ENTEROBA,AAMI,2
A_FUSOBACT,AMTZ,2
A_ANAEROBE,ACLI,2
A_ANIAEI,ACIP,2
A_FLAVOBAC,AAMI,2
A_ARADIORES,AAMO,2
A_AGNB,AMTZ,2
A_LNI,AAMI,2
BHSCG,ACHL,2
A_NGNI,AAMO,2
A_CSTREPTOC,AERY,2
A_NGNI,AMTZ,2
BFRA,ACLI,2
A_MCI,AAMI,2
ALWO,ACIP,2
