organismCode,antibioticCode,sari
ECOL,ACIP,0.16167828523
ECOL,ATRI,0.376197186774
ECOL,ANIT,0.0269402459081
ECOL,AAUG,0.109006409838
ECOL,ACELX,0.110397409786
ECOL,AGEN,0.0924226254002
ENTC,AAMO,0.0425834597876
ENTC,ANIT,0.0265465637213
ENTC,AVAN,0.024866163006
ECOL,A_CEFPODOX,0.0660415581409
ENTC,ATRI,0.245424874694
COLIF,ACIP,0.0449452672247
COLIF,AAUG,0.116029943211
COLIF,ATRI,0.179018721756
COLIF,ANIT,0.222035432562
COLIF,ACELX,0.0881515974648
COLIF,AGEN,0.0249066002491
ECOL,ATAZ,0.242032821599
ECOL,AMER,0.00201719927805
ECOL,ACAZ,0.571748162352
ECOL,ACTX,0.606864939772
ECOL,ACXT,0.262905290102
ECOL,AAMI,0.0109995728321
ECOL,AMEC,0.0539667896679
ECOL,ATEM,0.0721903199344
ECOL,AERT,0.0200661000944
ENTC,ATEI,0.0473036896878
ECOL,ACOL,0.0492866407263
ECOL,AESBL,0.335021809484
ENTC,ALIN,0.000598682897625
ENTC,AGEN,0.261771747805
ECOL,AAMPC,0.692273534636
ENTC,ASYN,0.86327014218
ENTC,AAUG,0.0188269370022
PAER,AGEN,0.0570824524313
PAER,ACIP,0.155126849894
PAER,ACAZ,0.0409944459138
COLIF,A_CEFPODOX,0.0449735449735
BHSB,ANIT,0.0140807651435
PAER,AMER,0.0718849840256
PAER,ATAZ,0.0529960053262
BHSB,ATRI,0.0834516037468
ENTC,ACIP,0.296675191816
PAER,AAMI,0.0275766976905
BHSB,AAMO,0.00140548137737
BHSB,ACELX,0.012
PROTE,ACIP,0.0955912649361
PROTE,ATRI,0.438118811881
PROTE,AAUG,0.101939744119
PROTE,ACELX,0.151177199504
PROTE,ANIT,0.997898276587
PMIR,ACIP,0.13051069402
PMIR,ACELX,0.0616258741259
PMIR,ATRI,0.438811188811
PMIR,AAUG,0.0402273721032
PMIR,AGEN,0.110284463895
PMIR,ANIT,0.997305792546
CNS,ACIP,0.259728082513
CNS,ATRI,0.310942578548
ENTC,ACELX,0.997787610619
CNS,AGEN,0.148418491484
CNS,ANIT,0.01789019124
BHSB,ACIP,0.244318181818
CNS,AMET,0.316666666667
PROTE,AGEN,0.095390524968
CNS,AAUG,0.0677290836653
PAER,AIMP,0.12560721721
BHSB,AAUG,0.00072939460248
ECOL,ACXM,0.732657833203
KPNE,ACIP,0.654205607477
KPNE,ACELX,0.739875389408
KPNE,AGEN,0.443146417445
KPNE,ATRI,0.794392523364
KPNE,AAUG,0.48671875
KPNE,ANIT,0.594996090696
PSEUD,ACIP,0.116679718089
PSEUD,AGEN,0.044670846395
PSEUD,ACAZ,0.0464933018125
PSEUD,ATAZ,0.0371541501976
PSEUD,AMER,0.0758893280632
CNS,APEN,0.755118755119
BHSB,APEN,0.0
BHSB,AERY,0.221487603306
ECOL,AIMP,0.00166389351082
BHSB,ACLI,0.165551839465
BHSB,ATET,0.862794612795
SAUR,APEN,0.861231569818
SAUR,AMET,0.226759339705
SAUR,ACIP,0.304932735426
SSAP,ATRI,0.0613165013526
SSAP,ANIT,0.0118613138686
SAUR,ATRI,0.122130394858
BHSB,AGEN,0.371985157699
SSAP,ACIP,0.0102707749767
KPNE,ACTX,0.808671065033
KPNE,ACAZ,0.805843543827
KPNE,AMER,0.0471698113208
KPNE,ACXT,0.337735849057
KPNE,ATAZ,0.559962228517
KPNE,AAMI,0.0595463137996
KPNE,AERT,0.136492890995
KPNE,ATEM,0.0847619047619
KPNE,AMEC,0.238095238095
SAUR,ACLI,0.244252873563
SAUR,AERY,0.297892720307
SAUR,AFUS,0.104807692308
SAUR,ATET,0.0954274353877
SAUR,AGEN,0.0858895705521
CNS,AERY,0.554984583762
