organismCode,antibioticCode,sari
SAUR,AERY,0.260403369926
SAUR,ACLI,0.223921758893
SAUR,AMET,0.152702564627
SAUR,AFUS,0.145632557069
SAUR,APEN,0.894020766201
SAUR,ATET,0.097718740976
SAUR,AGEN,0.0401369823258
SAUR,ACIP,0.200453132716
SAUR,ARIF,0.0170019505662
SAUR,AMUP,0.0250964664418
SAUR,ATRI,0.0995477878269
SAUR,AVAN,0.0
SAUR,AMLS,0.697110754414
PAER,ACIP,0.151902355297
PAER,AGEN,0.0296670800343
PAER,ACAZ,0.0471284106087
PAER,ATAZ,0.0553325688073
PAER,AMER,0.0841148325359
PAER,AAMI,0.0192401363858
SAUR,ATEI,0.0
PAER,AIMP,0.124217712877
NGON,ACIP,0.408413001912
BHSB,AERY,0.295295536791
BHSB,ATET,0.845930934557
BHSB,APEN,0.00193330111165
NGON,ANAL,0.38418079096
NGON,ASPE,0.000493827160494
NGON,AAZI,0.00321225599209
SAUR,ALIN,0.0
BHSB,ACLI,0.201459473547
NGON,ACONE,0.0010764262648
NGON,ACIX,0.000543183052689
PAER,ATOB,0.0549522869365
ENTC,AAMO,0.384564204923
ENTC,AVAN,0.280573142286
PAER,AAZT,0.638489809556
ENTC,ATEI,0.278781793842
COLIF,AAMO,0.708417508418
COLIF,ACIP,0.132387706856
COLIF,ACXM,0.170888213441
COLIF,AGEN,0.0733355863467
COLIF,ACXT,0.1600135318
COLIF,ATAZ,0.0724196277496
COLIF,AAUG,0.252203389831
COLIF,ACAZ,0.0892735913103
COLIF,ACTX,0.0869863013699
PAER,ACOL,0.00653120464441
COLIF,AMER,0.00393391030685
ENTC,ALIN,0.0100522718134
BHSCG,AERY,0.315613227292
BHSCG,APEN,0.00377200335289
BHSCG,ATET,0.398739495798
ECOL,ACAZ,0.316254416961
ECOL,ACXM,0.403268551237
ECOL,AAMO,0.792311091471
ECOL,ACXT,0.174624226348
ECOL,ACIP,0.416445623342
ECOL,ATAZ,0.203367301728
ECOL,AAUG,0.554767184035
ECOL,AGEN,0.232578783844
PSEUD,ACIP,0.166964285714
PSEUD,AGEN,0.0451094238499
PSEUD,ACAZ,0.0705987488829
PSEUD,ATAZ,0.0546350201523
PSEUD,AMER,0.0955156950673
ECOL,ACTX,0.336025123374
BHSCG,ACLI,0.214774951076
ECOL,ATEM,0.154639175258
ECOL,AERT,0.0193976518632
ECOL,ATRI,0.465235173824
ENTC,AGEN,0.395587480759
COLIF,ATEM,0.0494736842105
CNS,AFUS,0.63906581741
CNS,AERY,0.763985082579
CNS,ACLI,0.641217298452
CNS,APEN,0.947765212709
CNS,AMET,0.71693989071
CNS,ATET,0.241591928251
CNS,AGEN,0.517686692869
CNS,ACIP,0.659694742793
CNS,ARIF,0.262350936968
A_ANAEROBE,AMTZ,0.00171624713959
BHSA,AERY,0.0994117647059
BHSA,ATET,0.280918727915
BHSA,APEN,0.00176886792453
CNS,ATRI,0.667071688943
PSEUD,AAMI,0.0286760219646
CNS,AVAN,0.00061387354205
ECOL,AMER,0.00887761572606
BHSA,ACLI,0.0813559322034
COLIF,A_CEFPODOX,0.122336769759
COLIF,AIMP,0.00623700623701
