,orderCode,organismCode,antibioticCode,0
0,URICUL,ECOL,ACIP,79239
1,URICUL,ECOL,ATRI,79133
2,URICUL,ECOL,ANIT,79108
3,URICUL,ECOL,AAUG,79093
4,URICUL,ECOL,ACELX,79090
5,URICUL,ECOL,AGEN,63399
6,WOUCUL,SAUR,AERY,39971
7,WOUCUL,SAUR,ACLI,39962
8,WOUCUL,SAUR,AMET,39950
9,WOUCUL,SAUR,AFUS,39918
10,WOUCUL,SAUR,APEN,39901
11,WOUCUL,SAUR,ATET,35429
12,WOUCUL,SAUR,AGEN,35255
13,WOUCUL,SAUR,ACIP,35227
14,WOUCUL,SAUR,ARIF,35141
15,WOUCUL,SAUR,AMUP,33716
16,WOUCUL,SAUR,ATRI,33525
17,WOUCUL,SAUR,AVAN,26239
18,URICUL,ENTC,AAMO,22022
19,URICUL,ENTC,ANIT,21916
20,URICUL,ENTC,AVAN,20919
21,WOUCUL,SAUR,AMLS,19114
22,URICUL,ENTC,ATRI,18091
23,URICUL,ECOL,A_CEFPODOX,17277
24,GUMCUL,NGON,ACIP,16774
25,URICUL,COLIF,ACIP,16117
26,URICUL,COLIF,AAUG,16081
27,URICUL,COLIF,ATRI,16078
28,URICUL,COLIF,ANIT,16054
29,URICUL,COLIF,ACELX,16049
30,GUMCUL,NGON,ANAL,15346
31,GUMCUL,NGON,ASPE,15337
32,GUMCUL,NGON,AAZI,15306
33,GUMCUL,NGON,ACONE,14642
34,GUMCUL,NGON,ACIX,14614
35,URICUL,COLIF,AGEN,12632
36,WOUCUL,PAER,ACIP,10734
37,WOUCUL,PAER,ACAZ,10729
38,WOUCUL,PAER,AGEN,10728
39,WOUCUL,PAER,ATAZ,10712
40,WOUCUL,PAER,AMER,10699
41,GUMCUL,NGON,ACXM,10097
42,URICUL,ECOL,ATAZ,9878
43,URICUL,ECOL,AMER,9875
44,URICUL,ECOL,ACAZ,9810
45,URICUL,ECOL,ACTX,9803
46,URICUL,ECOL,ACXT,9798
47,URICUL,ECOL,AAMI,9786
48,URICUL,ECOL,AMEC,9083
49,URICUL,ECOL,ATEM,8957
50,URICUL,ECOL,AERT,8882
51,URICUL,ENTC,ATEI,8473
52,WOUCUL,PAER,AAMI,8458
53,URICUL,ECOL,ACOL,8060
54,URICUL,ECOL,AESBL,7461
55,XINCUL,SAUR,AMET,7019
56,XINCUL,SAUR,AMUP,6818
57,WOUCUL,SAUR,ATEI,6650
58,XINCUL,SAUR,AERY,6028
59,XINCUL,SAUR,ACLI,6025
60,XINCUL,SAUR,APEN,6019
61,XINCUL,SAUR,AFUS,6017
62,XINCUL,SAUR,ATET,5998
63,XINCUL,SAUR,AGEN,5989
64,XINCUL,SAUR,ACIP,5986
65,XINCUL,SAUR,ARIF,5984
66,XINCUL,SAUR,ATRI,5511
67,XINCUL,SAUR,AVAN,5388
68,BLDCUL,CNS,AFUS,5354
69,BLDCUL,CNS,AERY,5349
70,WOUCUL,PAER,AIMP,5334
71,BLDCUL,CNS,ACLI,5329
72,BLDCUL,CNS,AMET,5292
73,WOUCUL,NGON,ACIP,5231
74,BLDCUL,CNS,APEN,5190
75,VAGCUL,BHSB,AERY,5098
76,VAGCUL,BHSB,APEN,5095
77,VAGCUL,BHSB,ATET,5088
78,MRSCUL,SAUR,AMET,5061
79,URICUL,ENTC,AGEN,5029
80,URICUL,ENTC,ALIN,5027
81,MRSCUL,SAUR,AMUP,5009
82,SPTCUL,PAER,AMER,4978
83,SPTCUL,PAER,ATAZ,4972
84,SPTCUL,PAER,ACIP,4971
85,SPTCUL,PAER,ACAZ,4971
86,SPTCUL,PAER,AGEN,4959
87,VAGCUL,BHSB,ACLI,4767
88,URICUL,ECOL,AAMPC,4729
89,BLDCUL,CNS,ATET,4728
90,BLDCUL,CNS,ACIP,4702
91,BLDCUL,CNS,AGEN,4697
92,BLDCUL,CNS,ARIF,4647
93,GENITALCUL,NGON,ACIP,4573
94,GENITALCUL,NGON,ASPE,4573
95,GENITALCUL,NGON,ANAL,4571
96,GENITALCUL,NGON,AAZI,4571
97,GENITALCUL,NGON,ACXM,4563
98,GENITALCUL,NGON,ACIX,4508
99,GENITALCUL,NGON,ACONE,4500
100,BLDCUL,CNS,ATRI,4495
101,SPTCUL,PAER,AAMI,4403
102,WOUCUL,BHSB,AERY,4244
103,WOUCUL,BHSB,ATET,4238
104,WOUCUL,BHSB,APEN,4235
105,MRSCUL,SAUR,AERY,4230
106,MRSCUL,SAUR,ACLI,4230
107,MRSCUL,SAUR,AFUS,4229
108,MRSCUL,SAUR,APEN,4229
109,MRSCUL,SAUR,ATET,4223
110,URICUL,ENTC,ASYN,4222
111,MRSCUL,SAUR,AGEN,4221
112,MRSCUL,SAUR,ACIP,4218
113,MRSCUL,SAUR,ARIF,4214
114,BLDCUL,CNS,AMUP,4179
115,URICUL,ENTC,AAUG,4148
116,WOUCUL,NGON,ANAL,4072
117,WOUCUL,NGON,ASPE,4051
118,WOUCUL,NGON,AAZI,4048
119,ENTCUL,SAUR,AFUS,4039
120,ENTCUL,SAUR,AMET,4039
121,ENTCUL,SAUR,APEN,4038
122,ENTCUL,SAUR,AERY,4037
123,ENTCUL,SAUR,ACLI,4034
124,MRSCUL,SAUR,ATRI,3988
125,URICUL,PAER,ACIP,3936
126,URICUL,PAER,AGEN,3936
127,WOUCUL,BHSB,ACLI,3935
128,URICUL,PAER,ACAZ,3933
129,URICUL,PAER,AMER,3908
130,URICUL,PAER,ATAZ,3904
131,URICUL,BHSB,ANIT,3894
132,WOUCUL,SAUR,ALIN,3865
133,BLDCUL,CNS,AVAN,3830
134,URICUL,COLIF,A_CEFPODOX,3780
135,9MRSN,SAUR,AMET,3777
136,9MRSN,SAUR,AMUP,3726
137,WOUCUL,NGON,ACONE,3716
138,WOUCUL,NGON,ACIX,3682
139,SPTCUL,PAER,AIMP,3676
140,URICUL,BHSB,ATRI,3654
141,ENTCUL,SAUR,AGEN,3498
142,ENTCUL,SAUR,ATET,3337
143,BLDCUL,ECOL,ACAZ,3323
144,BLDCUL,ECOL,AGEN,3322
145,BLDCUL,ECOL,ATAZ,3321
146,BLDCUL,ECOL,ACXM,3320
147,BLDCUL,ECOL,ACIP,3320
148,BLDCUL,ECOL,AAMO,3319
149,BLDCUL,ECOL,AAUG,3317
150,BLDCUL,ECOL,ACXT,3316
151,VAGCUL,SAUR,APEN,3316
152,VAGCUL,SAUR,AERY,3314
153,VAGCUL,SAUR,ACLI,3314
154,VAGCUL,SAUR,AMET,3312
155,VAGCUL,SAUR,AFUS,3311
156,BLDCUL,ECOL,AMER,3280
157,SPTCUL,SAUR,AERY,3274
158,SPTCUL,SAUR,APEN,3273
159,SPTCUL,SAUR,ACLI,3269
160,SPTCUL,SAUR,AFUS,3268
161,SPTCUL,SAUR,AMET,3268
162,BLDCUL,ECOL,ACTX,3201
163,MRSCUL,SAUR,AMLS,3191
164,URICUL,ENTC,ACIP,3132
165,SPTCUL,PAER,ATOB,3115
166,WOUCUL,PAER,ATOB,3095
167,SPTCUL,SAUR,ATET,3069
168,SPTCUL,SAUR,ACIP,3066
169,SPTCUL,SAUR,AGEN,3064
170,SPTCUL,PAER,AAZT,3061
171,9MRSN,SAUR,AERY,3060
172,9MRSN,SAUR,ACLI,3058
