domain,phylum,class,order,family,genus,species,acronym,exists_in_registry,gram_stain,microorganism_code,microorganism_name
,,,,,Abiotrophia/Granulicatella,species,ABIO_SPEC,False,,Abiotrophia/granulicatella species,Abiotrophia/granulicatella species
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,(alcaligenes) dentrificans,ACHR_(ALC,False,,Achromobacter (alcaligenes) dentrificans,Achromobacter (alcaligenes) dentrificans
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,(alcaligenes) xylosoxidans,ACHR_(ALCA,False,,Achromobacter (alcaligenes) xylosoxidans,Achromobacter (alcaligenes) xylosoxidans
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,(alcaligenes) xylosoxidans ss dentrificans,A_(_X_S_D,False,,Achromobacter (alcaligenes) xylosoxidans ss dentrificans,Achromobacter (alcaligenes) xylosoxidans ss dentrificans
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,sp.,ACHR_SP.,False,,Achromobacter sp.,Achromobacter sp.
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,species,ACHR_SPEC,False,,Achromobacter species,Achromobacter species
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,xylosoxidans,ACHR_XYLO,True,,Achromobacter xylosoxidans,Achromobacter xylosoxidans
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baumannii,ACIN_BAUM,True,n,Acinetobacter baumannii,Acinetobacter baumannii
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baumannii complex,ACIN_BAUMA,False,,Acinetobacter baumannii complex,Acinetobacter baumannii complex
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,lwoffii,ACIN_LWOFF,True,,Acinetobacter lwoffii,Acinetobacter lwoffii
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,radioresistens,ACIN_RADI,True,,Acinetobacter radioresistens,Acinetobacter radioresistens
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,sp.,ACIN_SP.,False,,Acinetobacter sp.,Acinetobacter sp.
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Actinobacillus,actinomycetemcomitans,ACTI_ACTI,False,,Actinobacillus actinomycetemcomitans,Actinobacillus actinomycetemcomitans
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,israelii,ACTI_ISRA,True,p,Actinomyces israelii,Actinomyces israelii
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,naeslundii,ACTI_NAES,True,p,Actinomyces naeslundii,Actinomyces naeslundii
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,odontolyticus,ACTI_ODON,False,p,Actinomyces odontolyticus,Actinomyces odontolyticus
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,sp.,ACTI_SP.,False,p,Actinomyces sp.,Actinomyces sp.
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,species,AERO_SPEC,False,,Aerococcus species,Aerococcus species
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,urinae,AERO_URIN,True,,Aerococcus urinae,Aerococcus urinae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,viridans,AERO_VIRI,True,,Aerococcus viridans,Aerococcus viridans
