name,category
Amikacin,Aminoglycosides
Amoxycillin,Aminopenicillins
Augmentin,
Aztreonam,Monobactams
Ceftazidime,Cephalosporins
Ciprofloxacin,Fluoroquinolones
Colistin sulphate,Polypeptides
Cotrimoxazole,Sulfonamides
Cefotaxime,Cephalosporins
Cefuroxime,Cephalosporins
Cefoxitin,Cephalosporins
Gentamicin,Aminoglycosides
Imipenem,Meropenems
Meropenem,Meropenems
Cefpodoxime,
Tazocin,
Timentin,
Teicoplanin,Glycopeptide
Vancomycin,Glycopeptide
Chloramphenicol,
Linezolid,Oxazolidinones
Rifampicin,
Sulphamethoxazole,
Tetracycline,Tetracyclines
Trimethoprim,
Tobramycin,Aminoglycosides
Clindamycin,Macrolides
Erythromycin,Macrolides
Fusidic acid,
Flucloxacillin,Penicillins
Mupirocin,
Penicillin,Penicillins
Cephalexin,Cephalosporins
Nitrofurantoin,
Synercid,
Novobiocin,Aminocoumarin
Metronidazole,Nitroimidazoles
Mecillinam,Penicillins
Neomycin,Aminoglycosides
Ertapenem,Meropenems
Temocillin,Penicillins
Naladixic acid,Fluoroquinolones
Clarithromycin,Macrolides
Ceftriaxone,Cephalosporins
Oxacillin,Penicillins
Esbl markers,
Mls markers,
Amp c markers,
Cefixime,Cephalosporins
Spectinomycin,
Azithromycin,Macrolides
Levofloxacin,Fluoroquinolones
Moxifloxacin,Fluoroquinolones
Tigecycline,Tetracyclines
Cephazolin,
Daptomycin,
Sulbactam,
Cefepime,
Ofloxacin,Fluoroquinolones
Bacitracin,Polypeptides
Optochin,
Rifabutin,
Minocycline,
Ethambutol,
Isoniazid,
Pyrazinamide,
Streptomycin,
Doxycycline,
Anidulafungin,
Fluconazole,
Capreomycin,
Kanamycin,
Prothionamide,
Clotrimozale,
Flucytosine,
Fosfomycin,
Amphotericin,
Caspofungin,
Itraconazole,
Micafungin,
Voriconazole,
Septrin,
Posaconazole,
Ketoconazole,
Terbinafine,
Cpo marker,
Pefloxacin,
Piperacillin tazobactam,
Co amoxiclav,
Ceftazidime avibactam,
Ceftolozane tazobactam,
Ticarcillin clavulanate,
Cpo markers,
Norfloxacin,
Mast cre,
