genus,species,gram_stain
Acetic,acid bacteria,n
Achromobacter,,n
Acidaminococcus,,n
Acinetobacter,baumannii,n
Acinetobacter,guerrae,n
Acinetobacter,lwoffi,n
Acinetobacter,portensis,n
Acinetobacter,,n
Actinobacillus,equuli,n
Actinobacteria,,p
Actinobaculum,,p
Actinomyces,bovis,p
Actinomyces,georgiae,p
Actinomyces,gerencseriae,p
Actinomyces,israelii,p
Actinomyces,neuii,p
Actinomyces,radicidentis,p
Actinomyces,viscosus,p
Actinomyces,,p
Aerococcus,,p
Aeromonas,,n
Agrobacterium,tumefaciens,n
Akkermansia,glycaniphila,n
Akkermansia,muciniphila,n
Alcaligenes,,n
Alicyclobacillus,acidocaldarius,p
Alicyclobacillus,acidoterrestris,p
Alicyclobacillus,aeris,p
Alicyclobacillus,contaminans,p
Alicyclobacillus,cycloheptanicus,p
Alicyclobacillus,dauci,p
Alicyclobacillus,disulfidooxidans,p
Alicyclobacillus,fastidiosus,p
Alicyclobacillus,ferrooxydans,p
Alicyclobacillus,fodiniaquatilis,p
Alicyclobacillus,herbarius,p
Alicyclobacillus,hesperidum,p
Alicyclobacillus,kakegawensis,p
Alicyclobacillus,macrosporangiidus,p
Alicyclobacillus,montanus,p
Alicyclobacillus,pomorum,p
Alicyclobacillus,sacchari,p
Alicyclobacillus,sendaiensis,p
Alicyclobacillus,shizuokensis,p
Alicyclobacillus,tengchongensis,p
Alicyclobacillus,tolerans,p
Alicyclobacillus,vulcanalis,p
Anaerobiospirillum,,n
Anaerolinea,thermolimosa,n
Anaerolinea,thermophila,n
Arcanobacterium,,p
Arcobacter,skirrowii,n
Arcobacter,,n
Armatimonas,rosea,n
Azotobacter,salinestris,n
Bacillales,,p
Bacillus,mojavensis,p
Bacillus,,p
Bacteroides,caccae,n
Bacteroides,fragilis,n
Bacteroides,thetaiotaomicron,n
Bacteroides,ureolyticus,n
Bacteroides,vulgatus,n
Bacteroides,,n
Bacteroidetes,,n
Bartonella,japonica,n
Bartonella,koehlerae,n
Bartonella,taylorii,n
Basfia,succiniciproducens,n
Bavariicoccus,,p
Bdellovibrio,,n
Bifidobacterium,,p
Bordetella,,n
Brachybacterium,alimentarium,p
Brachybacterium,aquaticum,p
Brachybacterium,conglomeratum,p
Brachybacterium,endophyticum,p
Brachybacterium,faecium,p
Brachybacterium,fresconis,p
Brachybacterium,ginsengisoli,p
Brachybacterium,horti,p
Brachybacterium,huguangmaarense,p
Brachybacterium,massiliense,p
Brachybacterium,muris,p
