domain,phylum,class,order,family,genus,species,acronym,gram_stain
Bacteria,Armatimonadota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,utsteinense,ABDI_UTST,
Bacteria,Armatimonadota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,ABDITIBACTERIUM,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,defectiva,ABIO_DEFE,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,,ABIOTROPHIA,
Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Oceanococcaceae,Abyssibacter,profundi,ABYS_PROF,
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Acaricomes,phytoseiuli,ACAR_PHYT,
Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Acaryochloris,marina,ACAR_MARI,
Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Acaryochloris,,ACARYOCHLORIS,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,aalborgensis,ACCU_AALB,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,pho,ACCU_PHO,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,,ACCUMULIBACTER,
Bacteria,Firmicutes,Clostridia,Oscillo,Ruminococcaceae,Acetanaerobacterium,elongatum,ACET_ELON,
Bacteria,Firmicutes,Clostridia,Lachno,Lachno,Acetatifactor,muris,ACET_MURI,
Bacteria,Firmicutes,Clostridia,Lachno,Lachno,Acetatifactor,,ACETATIFACTOR,
,,,,,Acetic,acid bacteria,ACET_ACID,n
Bacteria,Firmicutes,Clostridia,Lachno,Lachno,Acetitomaculum,ruminis,ACET_RUMI,
Bacteria,Firmicutes,Clostridia,Acetivibrionales,Acetivibrionaceae,Acetivibrio,cellulolyticus,ACET_CELL,
Bacteria,Firmicutes,Clostridia,Acetivibrionales,Acetivibrionaceae,Acetivibrio,clariflavus,ACET_CLAR,
Bacteria,Firmicutes,Clostridia,Lachno,Lachno,Acetivibrio,ethanolgignens,ACET_ETHA,
Bacteria,Firmicutes,Clostridia,Lachno,Lachno,Acetivibrio,,ACETIVIBRIO,
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,noterae,ACET_NOTE,
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,sticklandii,ACET_STIC,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,aceti,ACET_ACET,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,ascendens,ACET_ASCE,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,cerevisiae,ACET_CERE,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,cibinongensis,ACET_CIBI,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,fabarum,ACET_FABA,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,ghanensis,ACET_GHAN,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,indonesiensis,ACET_INDO,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,malorum,ACET_MALO,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,nitrogenifigens,ACET_NITR,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,okinawensis,ACET_OKIN,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,orientalis,ACET_ORIE,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,orleanensis,ACET_ORLE,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,oryzifermentans,ACET_ORYZ,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,papayae,ACET_PAPA,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,pasteurianus,ACET_PAST,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,peroxydans,ACET_PERO,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,persici,ACET_PERS,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,pomorum,ACET_POMO,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,senegalensis,ACET_SENE,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,syzygii,ACET_SYZY,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,tropicalis,ACET_TROP,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,ACETOBACTER,
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,bakii,ACET_BAKI,
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,dehalogenans,ACET_DEHA,
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,wieringae,ACET_WIER,
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,woodii,ACET_WOOD,
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,,ACETOBACTERIUM,
Bacteria,Firmicutes,Halanaerobiia,Halobacteroidales,Acetohalobiaceae,Acetohalobium,arabaticum,ACET_ARAB,
Bacteria,Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,flavidum,ACET_FLAV,
Bacteria,Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,hydrogeniformans,ACET_HYDR,
Bacteria,Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,thermoterrenum,ACET_THER,
Bacteria,Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,,ACETOMICROBIUM,
Bacteria,Firmicutes,Negativicutes,Sporomusales,Acetonemaceae,Acetonema,longum,ACET_LONG,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,axanthum,ACHO_AXAN,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,equifetale,ACHO_EQUI,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,granularum,ACHO_GRAN,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,hippikon,ACHO_HIPP,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,laidlawii,ACHO_LAID,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,modicum,ACHO_MODI,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,oculi,ACHO_OCUL,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,palmae,ACHO_PALM,
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,ACHOLEPLASMA,
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Achromatium,palustre,ACHR_PALU,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,aegrifaciens,ACHR_AEGR,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,agilis,ACHR_AGIL,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,arsenitoxydans,ACHR_ARSE,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,bronchisepticus,ACHR_BRON,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,denitrificans,ACHR_DENI,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,dolens,ACHR_DOLE,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,insolitus,ACHR_INSO,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,insuavis,ACHR_INSU,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,marplatensis,ACHR_MARP,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,mucicolens,ACHR_MUCI,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,piechaudii,ACHR_PIEC,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,pulmonis,ACHR_PULM,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,ruhlandii,ACHR_RUHL,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,xylosoxidans,ACHR_XYLO,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,,ACHROMOBACTER,
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacter,hydrogenoformans,ACID_HYDR,
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,fermentans,ACID_FERM,n
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,ACID_INTE,n
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,massiliensis,ACID_MASS,n
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,provencensis,ACID_PROV,n
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,timonensis,ACID_TIMO,n
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,ACIDAMINOCOCCUS,n
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidi,,ACIDI,
Bacteria,Firmicutes,Alicyclobacillia,Alicyclobacillales,Acidibacillaceae,Acidibacillus,ferrooxidans,ACID_FERR,
Bacteria,Firmicutes,Alicyclobacillia,Alicyclobacillales,Acidibacillaceae,Acidibacillus,sulfuroxidans,ACID_SULF,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,organivorans,ACID_ORGA,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,thiooxydans,ACID_THIO,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,,ACIDIFERROBACTER,
Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodo,Acidihalobacteraceae,Acidihalobacter,ferrooxidans,ACID_FERRO,
Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodo,Acidihalobacteraceae,Acidihalobacter,pro,ACID_PRO,
Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,ACID_FERROO,
Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,,ACIDIMICROBIUM,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,multivorum,ACID_MULT,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,rubrum,ACID_RUBR,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,,ACIDIPHILIUM,
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Acidipila,rosea,ACID_ROSE,
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,acidipropionici,ACID_ACID,
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,jensenii,ACID_JENS,
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,thoenii,ACID_THOE,
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,virtanenii,ACID_VIRT,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,ACID_CALD,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferridurans,ACID_FERRI,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrivorans,ACID_FERRIV,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrooxidans,ACID_FERROOX,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,thiooxidans,ACID_THIOO,
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,ACIDITHIOBACILLUS,
Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,ferrooxidans,ACID_FERROOXI,
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Acidobacterium,ailaaui,ACID_AILA,
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Acidobacterium,capsulatum,ACID_CAPS,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,aminolytica,ACID_AMIN,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,facilis,ACID_FACI,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,,ACIDOCELLA,
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidomonas,methanolica,ACID_METH,
Bacteria,Actinobacteriota,Actinomycetia,Acidothermales,Acidothermaceae,Acidothermus,cellulolyticus,ACID_CELL,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,anthurii,ACID_ANTH,
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,avenae,ACID_AVEN,
