genus,species,subspecies,group,coagulase_production,haemolysis,host
Staphylococcus,aureus,,A,positive,,
Staphylococcus,borealis,,A,negative,,
Staphylococcus,capitis,,A,negative,,
Staphylococcus,epidermis,,A,negative,,
Staphylococcus,haemolyticus,,A,negative,,
Staphylococcus,hominis,,A,negative,,
Staphylococcus,lugdunensis,,A,negative,,
Staphylococcus,pettenkoferi,,A,negative,,
Staphylococcus,simiae,,A,negative,,
Staphylococcus,warneri,,A,negative,,
Staphylococcus,arlettae,,B,negative,,
Staphylococcus,cohnii,,B,negative,,
Staphylococcus,equorum,,B,negative,,
Staphylococcus,saprophyticus,,B,negative,,
Staphylococcus,xylosus,,B,negative,,
Staphylococcus,delphini,,C,positive,,
Staphylococcus,intermedius,,C,positive,,
Staphylococcus,pseudintermedius,,C,positive,,
Staphylococcus,hyicus,,,positive,,
Staphylococcus,lutrae,,,positive,,
Staphylococcus,schleiferi,coagulans,,positive,,
Streptococcus,suis,,,,,swine
Streptococcus,mitis,,,,,human
Streptococcus,anginosus,,,,,"human, animals"
Streptococcus,agalactiae,,,,,"human, cattle"
Streptococcus,pneumoniae,,,,alpha-haemolytic
Streptococcus,pyogenes,,A,,beta-haemolytic
Streptococcus,agalactiae,,B,,beta-haemolytic
Streptococcus,equi,,C,,beta-haemolytic,"animals,horses"
Streptococcus,zooepidemicus,,C,
