genus,species,subspecies,code
Achromobacter,xylosoxidans,,AXYL
Achromobacter,,,SACHRO
Acinetobacter,baumannii,,ABAU
Acinetobacter,lwoffi,,ALWO
Acinetobacter,,,SACINE
Aerococcus,urinae,,AERU
Aerococcus,viridans,,AVIR
Aerococcus,,,SAEROC
Aeromonas,caviae,,ACAV
Aeromonas,hydrophila,,AHYD
Aeromonas,,,AEROM
Alcaligenes,faecalis,,AFAE
Bacillus,cereus,,BCER
Bacillus,,,BACIL
Bacteroides,fragilis,,BFRA
Bacteroides,ovatus,,BOVA
Bacteroides,vulgatus,,BVUL
Bacteroides,,,BACTE
Brevibacterium,,,BREVI
Brevibacterium,,,ABREVI
Brevundimonas,diminuta,,BDIM
Burkholderia,cepacia,,BCEP
Burkholderia,pseudomallei,,BPSE
Burkholderia,,,BURK
Campylobacter,coli,,CCOL
Campylobacter,fetus,,CFET
Campylobacter,jejuni,,CJEJ
Campylobacter,,,CAMPY
Campylobacter,,,CAMP2
Candida,albicans,,CALB
Candida,dubliniensis,,CDUB
Candida,glabrata,,CGLA
Candida,kefyr,,CKEF
Candida,krusei,,CKRU
Candida,lusitaniae,,CLUS
Candida,tropicalis,,CTRO
Chryseobacterium,indologenes,,CIND
Citrobacter,amalonaticus,,CAMA
Citrobacter,braakii,,CBRA
Citrobacter,freundii,,CFRE
Citrobacter,koseri,,CKOS
Citrobacter,,,CITRO
Clostridium,perfringens,,CPER
Clostridium,,,CLOST
Coliform,lactose,fermenting,LFC
Coliform,lactose,fermenting,LFC2
Coliform,,,COLIF
Coliform,,,COLI2
Coliform,,,COLIF2
Corynebacterium,haemolyticum,,CHAE
Corynebacterium,jeikeium,,CJEI
Corynebacterium,pseudodiphtheriticum,,CPSEU
Corynebacterium,striatum,,CSTR
Corynebacterium,,,CORYN
Delftia,acidovorans,,DACI
Diphtheroids,,,DIPHT
Eikenella,corrodens,,ECOR
Elizabethkingia,meningoseptica,,EMEN
Enterobacter,aerogenes,,EAER
Enterobacter,aerogenes,,ENTAE2
Enterobacter,asburiae,,EASB
Enterobacter,cloacae,,ECLO
Enterobacter,cloacae,,ECLO2
Enterobacter,ludwigii,,ELUD
Enterobacter,,,ENTB
Enterococcus,avium,,EAVI
Enterococcus,casseliflavus,,ECASS
Enterococcus,faecalis,,EFAS
Enterococcus,faecium,,EFAM
Enterococcus,gallinarum,,EGAL
Enterococcus,,,ENTC
Enterococcus,,,ENTC2
Escherichia,coli,,ECOL
Escherichia,hermanii,,EHER
Fusobacterium,necrophorum,,FNEC
Fusobacterium,,,FUSOB
Gemella,cies,,GEM
Gemella,haemolysans,,GHAEM
Haemophilus,haemolyticus,,HHAE
Haemophilus,influenzae,,HINF
Haemophilus,parahaemolyticus,,HPHA
Haemophilus,parainfluenzae,,HPIN
Haemophilus,paraphrophilus,,HPAP
Haemophilus,,,HAEMO
Hafnia,alvei,,HALV
Helicobacter,pylori,,HPYL
Isolated,,,QISO
Klebsiella,aerogenes,,KAER
Klebsiella,oxytoca,,KOXY
Klebsiella,pneumoniae,,KPNE
Klebsiella,,,KLEBS
Kluyvera,,,KLUYV
