,DATE,MICROORGANISM,ANTIMICROBIAL,SENSITIVITY
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
0,Q2 2011,E. Coli,AMINOPENICILLINS,resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
