,specie,specieCode,genus,organismCode,antibiotic,antibioticCode,gram,resistance
0,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,amikacin,AAMI,,1.0
1,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,augmentin,AAUG,,0.0
2,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,ceftazidime,ACAZ,,0.0
3,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,cephalexin,ACELX,,1.0
4,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,ciprofloxacin,ACIP,,1.0
5,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,colistin sulphate,ACOL,,0.0
6,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,cefotaxime,ACTX,,1.0
7,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,cefoxitin,ACXT,,1.0
8,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,ertapenem,AERT,,0.0
9,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,esbl markers,AESBL,,1.0
10,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,gentamicin,AGEN,,1.0
11,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,mecillinam,AMEC,,1.0
12,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,meropenem,AMER,,0.0
13,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,nitrofurantoin,ANIT,,1.0
14,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,tazocin,ATAZ,,0.0
15,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,temocillin,ATEM,,1.0
16,achromobacter,A_ACHROMOBACTER,achromobacter sp.,ACHRO,trimethoprim,ATRI,,1.0
17,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,amikacin,AAMI,,1.0
18,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,amp c markers,AAMPC,,0.0
19,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,augmentin,AAUG,,0.0
20,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,aztreonam,AAZT,,1.0
21,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,ceftazidime,ACAZ,,0.2
22,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,cephalexin,ACELX,,1.0
23,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,ciprofloxacin,ACIP,,1.0
24,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,colistin sulphate,ACOL,,0.0
25,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,cefotaxime,ACTX,,1.0
26,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,cefoxitin,ACXT,,1.0
27,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,ertapenem,AERT,,0.0
28,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,esbl markers,AESBL,,0.0
29,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,gentamicin,AGEN,,1.0
30,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,imipenem,AIMP,,0.0
31,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,mecillinam,AMEC,,1.0
32,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,meropenem,AMER,,0.0
33,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,nitrofurantoin,ANIT,,1.0
34,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,tazocin,ATAZ,,0.0
35,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,temocillin,ATEM,,1.0
36,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,tobramycin,ATOB,,1.0
37,achromobacter,A_ACHROMOBACTER,achromobacter xylosoxidans,AXYL,trimethoprim,ATRI,,1.0
38,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,amikacin,AAMI,,0.181818181818
39,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,amoxycillin,AAMO,,1.0
40,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,amp c markers,AAMPC,,0.23076923076900002
41,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,augmentin,AAUG,,0.37209302325599997
42,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,aztreonam,AAZT,,1.0
43,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,ceftazidime,ACAZ,,0.971014492754
44,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cephalexin,ACELX,,1.0
45,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,ciprofloxacin,ACIP,,0.340206185567
46,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,colistin sulphate,ACOL,,0.050847457627099996
47,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cotrimoxazole,ACOT,,1.0
48,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cefotaxime,ACTX,,1.0
49,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cefuroxime,ACXM,,1.0
50,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cefoxitin,ACXT,,0.9705882352940001
51,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,ertapenem,AERT,,1.0
52,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,esbl markers,AESBL,,0.791666666667
53,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,gentamicin,AGEN,,0.223404255319
54,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,imipenem,AIMP,,0.5
55,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,mecillinam,AMEC,,0.9523809523810001
56,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,meropenem,AMER,,0.261363636364
57,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,nitrofurantoin,ANIT,,1.0
58,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,tazocin,ATAZ,,0.325842696629
59,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,temocillin,ATEM,,0.901639344262
60,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,tigecycline,ATIG,,1.0
61,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,tobramycin,ATOB,,0.428571428571
62,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,trimethoprim,ATRI,,0.939759036145
63,acinetobacter,A_ACINETOBACTER,acinetobacter baumannii,ABAU,cefpodoxime,A_CEFPODOX,,1.0
64,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,amikacin,AAMI,,0.0561797752809
65,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,amoxycillin,AAMO,,0.0
66,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,amp c markers,AAMPC,,0.5
67,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,augmentin,AAUG,,0.08
68,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,aztreonam,AAZT,,1.0
69,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,ceftazidime,ACAZ,,0.636363636364
70,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cephalexin,ACELX,,0.47154471544699994
71,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,ciprofloxacin,ACIP,,0.0764331210191
72,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,clindamycin,ACLI,,1.0
73,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,colistin sulphate,ACOL,,0.0238095238095
74,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cotrimoxazole,ACOT,,0.0
75,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cefotaxime,ACTX,,0.698113207547
76,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cefuroxime,ACXM,,0.75
77,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cefoxitin,ACXT,,0.7169811320749999
78,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,ertapenem,AERT,,0.723404255319
79,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,erythromycin,AERY,,1.0
80,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,esbl markers,AESBL,,0.692307692308
81,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,gentamicin,AGEN,,0.0392156862745
82,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,imipenem,AIMP,,0.0
83,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,mecillinam,AMEC,,0.489795918367
84,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,meropenem,AMER,,0.0434782608696
85,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,flucloxacillin,AMET,,1.0
86,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,nitrofurantoin,ANIT,,0.9435483870970001
87,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,penicillin,APEN,,1.0
88,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,tazocin,ATAZ,,0.0888888888889
