GENUS,SPECIE,ANTIBIOTIC,GRAM,RESISTANCE,FREQUENCY,THRESHOLD,W_SPECIE,W_GENUS
Staphylococcus,coagulase negative,ANTIBIOTIC_1,P,0.88,1,0.20,0.1,0.3333333333333
Staphylococcus,epidermidis,ANTIBIOTIC_1,P,0.11,1,0.20,0.1,0.3333333333333
Staphylococcus,haemolyticus,ANTIBIOTIC_1,P,0.32,1,0.20,0.1,0.3333333333333
Staphylococcus,lugdumensis,ANTIBIOTIC_1,P,0.45,1,0.20,0.1,0.3333333333333
Staphylococcus,saporphyticus,ANTIBIOTIC_1,P,0.18,1,0.20,0.1,0.3333333333333
Staphylococcus,aureus,ANTIBIOTIC_1,P,0.13,5,0.20,0.5,0.3333333333333
Enterococcus,durans,ANTIBIOTIC_1,N,0.64,1,0.20,0.25,0.3333333333333
Enterococcus,faecium,ANTIBIOTIC_1,N,0.48,1,0.20,0.25,0.3333333333333
Enterococcus,gallinarium,ANTIBIOTIC_1,N,0.10,1,0.20,0.25,0.3333333333333
Enterococcus,faecalis,ANTIBIOTIC_1,N,0.09,1,0.20,0.25,0.3333333333333
Streptococcus,viridians,ANTIBIOTIC_1,P,0.08,1,0.20,0.3333333333333,0.3333333333333
Streptococcus,pneumoniae,ANTIBIOTIC_1,P,0.89,2,0.20,0.666666666666,0.3333333333333
Staphylococcus,coagulase negative,ANTIBIOTIC_2,P,0.88,1,0.20,0.1,0.3333333333333
Staphylococcus,epidermidis,ANTIBIOTIC_2,P,0.11,1,0.20,0.1,0.3333333333333
Staphylococcus,haemolyticus,ANTIBIOTIC_2,P,0.32,1,0.20,0.1,0.3333333333333
Staphylococcus,lugdumensis,ANTIBIOTIC_2,P,0.45,1,0.20,0.1,0.3333333333333
Staphylococcus,saporphyticus,ANTIBIOTIC_2,P,0.18,1,0.20,0.1,0.3333333333333
Staphylococcus,aureus,ANTIBIOTIC_2,P,0.13,5,0.20,0.5,0.3333333333333
Enterococcus,durans,ANTIBIOTIC_2,N,0.64,1,0.20,0.25,0.3333333333333
Enterococcus,faecium,ANTIBIOTIC_2,N,0.48,1,0.20,0.25,0.3333333333333
Enterococcus,gallinarium,ANTIBIOTIC_2,N,0.10,1,0.20,0.25,0.3333333333333
Enterococcus,faecalis,ANTIBIOTIC_2,N,0.09,1,0.20,0.25,0.3333333333333
Streptococcus,viridians,ANTIBIOTIC_2,P,0.08,1,0.20,0.3333333333333,0.3333333333333
Streptococcus,pneumoniae,ANTIBIOTIC_2,P,0.89,2,0.20,0.666666666666,0.3333333333333
