,index,organismCode,antibioticCode,<<do not report>>,highly resistant,intermediate,not done,resistant,sensitive,validation fix entry,freq,freq_ris,freqi,adj_rsquared,aic,bic,c_ci_l,c_ci_u,c_coef,c_std,c_tprob,c_tval,durbin-watson,f_prob,f_value,jarque-bera,jarque_bera_prob,kurtosis,log-likelihood,method,model,nobs,omnibus_prob,omnibus_value,rsquared,skew,x1_ci_l,x1_ci_u,x1_coef,x1_std,x1_tprob,x1_tval,sari,surveillance
0,0,ABAU,AAMI,0.0,0.0,9.0,0.0,350.0,560.0,0.0,919.0,919.0,916.0,0.181,20.28,25.16,0.504,0.733,0.6181,0.0579999999999999,0.0,10.744000000000002,1.177,2.94e-05,19.55,4.648,0.0979,2.286,-8.1377,Least Squares,WLS,85.0,0.045,6.183,0.191,0.4479999999999999,-0.0069999999999999,-0.003,-0.005,0.001,0.0,-4.422,0.390642002176,M
1,1,ABAU,AAMO,0.0,0.0,2.0,0.0,724.0,30.0,0.0,756.0,756.0,80.0,0.053,inf,inf,0.963,1.048,1.0051,0.021,0.0,46.997,1.848,0.0194,5.682,631.965,5.899999999999998e-138,14.739,-inf,Least Squares,WLS,85.0,0.0,83.06299999999999,0.064,-3.188,-0.002,-0.0,-0.0012,0.0,0.019,-2.384,0.960317460317,M
3,3,ABAU,AAUG,0.0,0.0,6.0,1.0,629.0,203.0,0.0,839.0,838.0,10.0,-0.004,inf,inf,0.698,0.884,0.7912,0.047,0.0,16.924,1.64,0.424,0.6459,13.083,0.00144,3.615,-inf,Least Squares,WLS,85.0,0.002,12.44,0.008,-0.911,-0.003,0.001,-0.0008,0.001,0.424,-0.804,0.7577565632459999,M
4,4,ABAU,AAZT,0.0,0.0,7.0,0.0,521.0,16.0,0.0,544.0,544.0,,0.057,inf,inf,0.976,1.048,1.0116,0.018,0.0,55.997,1.604,0.0156,6.0920000000000005,129.263,8.53e-29,7.242999999999999,-inf,Least Squares,WLS,85.0,0.0,49.837,0.068,-2.15,-0.002,-0.0,-0.0009,0.0,0.016,-2.468,0.970588235294,M
6,6,ABAU,ACAZ,0.0,0.0,58.0,0.0,718.0,48.0,0.0,824.0,824.0,,0.015,inf,inf,0.928,1.014,0.971,0.022,0.0,44.442,1.776,0.132,2.313,103.616,3.1599999999999996e-23,6.69,-inf,Least Squares,WLS,85.0,0.0,44.867,0.027,-1.977,-0.002,0.0,-0.0007,0.0,0.132,-1.521,0.941747572816,M
9,9,ABAU,ACIP,0.0,0.0,8.0,0.0,544.0,463.0,0.0,1015.0,1015.0,10.0,0.254,22.19,27.07,0.71,0.942,0.826,0.0579999999999999,0.0,14.201,1.161,5.110000000000001e-07,29.67,2.781,0.249,2.124,-9.0947,Least Squares,WLS,85.0,0.036,6.666,0.263,0.067,-0.009,-0.004,-0.0063,0.001,0.0,-5.447,0.543842364532,M
11,11,ABAU,ACOL,0.0,0.0,10.0,0.0,11.0,697.0,0.0,718.0,718.0,,0.011,inf,inf,0.019,0.073,0.0458,0.0139999999999999,0.001,3.374,1.26,0.1669999999999999,1.946,100.685,1.37e-22,6.465,-inf,Least Squares,WLS,85.0,0.0,45.083,0.023,2.026,-0.001,0.0,-0.0004,0.0,0.1669999999999999,-1.395,0.0292479108635,M
14,14,ABAU,ACTX,0.0,0.0,19.0,0.0,773.0,26.0,0.0,818.0,818.0,,0.004,inf,inf,0.954,1.011,0.983,0.0139999999999999,0.0,68.572,1.812,0.246,1.364,216.123,1.1699999999999998e-47,9.103,-inf,Least Squares,WLS,85.0,0.0,60.027,0.016,-2.438,-0.001,0.0,-0.0004,0.0,0.246,-1.168,0.968215158924,M
15,15,ABAU,ACXM,0.0,0.0,1.0,0.0,724.0,39.0,0.0,764.0,764.0,,0.062,inf,inf,0.955,1.043,0.9986,0.022,0.0,45.193000000000005,1.476,0.0122,6.561,362.509,1.9100000000000003e-79,11.547,-inf,Least Squares,WLS,85.0,0.0,69.858,0.073,-2.707,-0.002,-0.0,-0.0013,0.001,0.012,-2.5610000000000004,0.948952879581,M
16,16,ABAU,ACXT,0.0,0.0,0.0,0.0,800.0,19.0,0.0,819.0,819.0,,-0.012,inf,inf,0.947,1.002,0.9742,0.0139999999999999,0.0,69.975,1.97,0.833,0.04471,1107.991,2.5299999999999988e-241,19.07,-inf,Least Squares,WLS,85.0,0.0,96.284,0.001,-3.695,-0.001,0.001,6.59e-05,0.0,0.833,0.211,0.976800976801,M
17,17,ABAU,AERT,3.0,0.0,103.0,0.0,520.0,21.0,0.0,647.0,644.0,,0.141,inf,inf,0.994,1.06,1.0269,0.017,0.0,61.452,1.908,0.000239,14.75,97.21,7.780000000000001e-22,6.77,-inf,Least Squares,WLS,85.0,0.0,42.054,0.151,-1.819,-0.002,-0.001,-0.0013,0.0,0.0,-3.841,0.967391304348,M
20,20,ABAU,AGEN,0.0,0.0,7.0,0.0,471.0,535.0,0.0,1013.0,1013.0,,0.268,27.21,32.09,0.654,0.893,0.7736,0.06,0.0,12.872,1.003,2.4e-07,31.68,3.075,0.215,2.116,-11.603,Least Squares,WLS,85.0,0.0279999999999999,7.172999999999999,0.276,0.148,-0.009,-0.004,-0.0067,0.001,0.0,-5.629,0.4718657453109999,M
23,23,ABAU,AMER,0.0,0.0,21.0,0.0,471.0,472.0,0.0,964.0,964.0,,0.276,25.73,30.61,0.6920000000000001,0.924,0.8081,0.0579999999999999,0.0,13.838,1.096,1.45e-07,33.05,2.046,0.359,2.34,-10.864,Least Squares,WLS,85.0,0.228,2.957,0.285,0.188,-0.009,-0.004,-0.0067,0.001,0.0,-5.749,0.510373443983,M
