species,year,Conditioning_Resistant,Antibiotic_1,Antibiotic_2,S1S2,S1R2,R1S2,R1R2,MIS
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,AMPICILLIN,513,2015,0,1062,0.137427931
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,1092,1436,11,1049,0.297594435
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,1003,85,257,222,0.325711802
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFEPIME,1843,70,711,82,0.057053049
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,2284,125,816,165,0.098495592
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,2212,196,770,213,0.114260962
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFUROXIME,25,39,33,53,0.006756309
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CIPROFLOXACIN,1729,799,612,450,0.090119828
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,GENTAMICIN,2108,419,771,290,0.090836534
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,LEVOFLOXACIN,1597,726,558,380,0.076256274
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,NITROFURANTOIN,2339,133,916,110,0.045368975
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,PIPERACILLIN_TAZOBACTAM,2403,13,770,208,0.164913841
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,TOBRAMYCIN,2132,309,709,290,0.137657007
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,AMPICILLIN_SULBACTAM,1154,2,965,5804,0.385150353
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,AZTREONAM,474,0,2216,123,0.023286259
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFAZOLIN,795,0,3322,912,0.091518361
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFEPIME,784,0,4395,252,0.021027885
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFTAZIDIME,880,1,4682,448,0.034248936
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFTRIAXONE,980,2,5169,755,0.048962171
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFUROXIME,454,21,1985,311,0.047670834
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,CIPROFLOXACIN,804,524,4489,2785,-0.006119545
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,GENTAMICIN,1270,58,5535,1739,0.090840995
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,LEVOFLOXACIN,624,370,3498,2049,-0.001466721
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,NITROFURANTOIN,1223,56,6459,412,0.008343723
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,PIPERACILLIN_TAZOBACTAM,1148,0,6475,515,0.027986561
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN,TOBRAMYCIN,999,46,4478,1127,0.074671128
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,AZTREONAM,572,11,1760,72,0.014234194
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFAZOLIN,1049,78,2495,732,0.112831284
