species,year,Antibiotic_1,Antibiotic_2,Antibiotic_3,S1S2S3,S1S2R3,S1R2S3,R1S2S3,S1R2R3,R1S2R3,R1R2S3,R1R2R3,S1S2S3_observed,S1S2R3_observed,S1R2S3_observed,R1S2S3_observed,S1R2R3_observed,R1S2R3_observed,R1R2S3_observed,R1R2R3_observed,S1S2S3_predicted,S1S2R3R_predicted,S1R2S3_predicted,R1S2S3_predicted,S1R2R3_predicted,R1S2R3R_predicted,R1R2S3_predicted,R1R2R3_predicted
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,AMPICILLIN_SULBACTAM,13841,3,1423,10,4231,0,33,3075,0.612000354,0.000132649,0.062920057,0.000442165,0.187079943,0,0.001459144,0.135965688,0.615911649,0.00477397,0.127616153,0.000878593,0.150558765,0.000109344,0.005021903,0.095129624
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,AZTREONAM,40,0,23,0,22,0,14,25,0.322580645,0,0.185483871,0,0.177419355,0,0.112903226,0.201612903,0.261680346,0,0.266942813,0,0.177790014,0,0.117148848,0.176437979
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CEFAZOLIN,6597,5,2395,3,259,1,738,707,0.616254087,0.000467071,0.22372723,0.000280243,0.024194302,9.34E+09,0.068939748,0.066043905,0.612146789,0.003162518,0.267409299,0.004325425,0.025442436,0.000127479,0.056642306,0.030743748
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CEFEPIME,10218,0,4054,7,112,0,2200,123,0.611343784,0,0.242551155,0.000418811,0.006700969,0,0.131626182,0.0073591,0.598233379,0,0.298740845,0.006157373,0.005129986,0,0.08772398,0.004014438
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CEFTAZIDIME,13237,1,5119,7,209,0,2563,337,0.616448563,4.66E+08,0.2383924,0.000325991,0.009733153,0,0.119359195,0.015694128,0.605047006,0.000562342,0.292339568,0.005206004,0.008336186,1.64E+09,0.080701578,0.007790935
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CEFTRIAXONE,13241,0,5012,7,318,0,2492,408,0.616491293,0,0.233355061,0.000325915,0.014805848,0,0.116025701,0.018996182,0.605210971,0,0.288988963,0.005148864,0.011864504,0,0.07887378,0.009912918
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CEFUROXIME,99,2,81,0,74,0,99,93,0.220982143,0.004464286,0.180803571,0,0.165178571,0,0.220982143,0.207589286,0.154459607,0.014265364,0.25801131,0,0.161484659,0,0.212963342,0.198815717
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,CIPROFLOXACIN,13318,526,4362,10,1295,0,2305,805,0.588744971,0.02325273,0.192829672,0.000442067,0.05724769,0,0.101896468,0.035586402,0.56509552,0.036028492,0.255485875,0.005495731,0.046017726,0.000643811,0.068546986,0.022685859
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,GENTAMICIN,13764,82,5074,10,582,0,2678,431,0.608461164,0.00362495,0.224304849,0.000442067,0.025728306,0,0.118385571,0.019053092,0.591473741,0.008567991,0.2835991,0.006004413,0.019247279,0.000185512,0.079425095,0.011496869
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,LEVOFLOXACIN,12386,467,3988,7,1158,0,2105,691,0.595423517,0.022449764,0.191712335,0.000336506,0.055667724,0,0.101192193,0.03321796,0.572871558,0.035032955,0.254165888,0.004801463,0.044108208,0.000533133,0.06728535,0.021201445
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,NITROFURANTOIN,13375,181,5292,9,228,1,2839,183,0.604984621,0.008187082,0.239370364,0.000407092,0.010313009,4.52E+09,0.128415053,0.008277547,0.590294441,0.0101891,0.293596902,0.006262326,0.00977068,0.000185617,0.084851962,0.004848973
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,PIPERACILLIN_TAZOBACTAM,13220,1,5295,7,34,0,2372,513,0.616546964,4.66E+09,0.246945248,0.000326462,0.001585673,0,0.110624009,0.023925007,0.609409651,0.000230383,0.294565642,0.005026452,0.003420859,2.03E+08,0.077690426,0.009636291
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,SULFA_TRIMETHOPRIM,13330,513,3640,10,2015,0,2046,1062,0.58940573,0.022683056,0.160948001,0.000442165,0.089096215,0,0.090466926,0.046957906,0.559683575,0.042361462,0.233544299,0.005235981,0.066309721,0.000737954,0.060264853,0.031862154
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN,TOBRAMYCIN,13248,35,4945,7,437,0,2494,433,0.61336173,0.001620445,0.228945785,0.000324089,0.020232418,0,0.115468309,0.020047224,0.599147358,0.004959029,0.285709593,0.005099637,0.015737872,0.000109036,0.078121221,0.011116254
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,AZTREONAM,42,7,21,0,15,0,15,25,336,56,168,0,0.12,0,0.12,0.2,0.286309612,0.069071895,0.22720388,0,0.141525779,0,0.116861066,0.159027768
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFAZOLIN,7137,52,1853,15,212,5,726,703,0.666822386,0.004858451,0.173129029,0.001401476,0.019807531,0.000467159,0.067831449,0.065682519,0.663100047,0.010144365,0.213410981,0.01004128,0.021783304,0.000876234,0.05096853,0.029675258
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFEPIME,11238,40,3028,30,72,0,2176,123,0.672652182,0.002394206,0.181241396,0.001795655,0.004309571,0,0.130244808,0.007362184,0.660317258,0.003485918,0.235267899,0.013392106,0.004035239,0.000188411,0.079671493,0.003641677
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFTAZIDIME,14534,89,3821,35,121,1,2536,336,0.676849998,0.00414474,0.177944395,0.001629954,0.005634983,4.66E+08,0.118101802,0.015647557,0.666442527,0.005602754,0.228567252,0.012375694,0.006555087,0.00035216,0.073016626,0.007087901
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFTRIAXONE,14463,158,3782,35,160,2,2464,405,0.673669011,0.007359449,0.176160976,0.001630258,0.007452606,9.32E+09,0.114770134,0.018864409,0.663003135,0.009195242,0.225960379,0.012343522,0.008972163,0.00052331,0.07134285,0.008659399
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFUROXIME,99,34,76,1,42,0,98,92,0.2239819,0.076923077,0.171945701,0.002262443,0.095022624,0,0.221719457,0.208144796,0.17742507,0.068177679,0.220447304,0.011571449,0.127488302,0.006504344,0.210396815,0.177989037
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CIPROFLOXACIN,14336,923,3337,34,897,9,2282,794,0.633999646,0.040819034,0.147576508,0.001503626,0.039669202,0.000398019,0.100919866,0.035114099,0.615130721,0.05027216,0.20261936,0.01182096,0.035670055,0.001772641,0.062519114,0.020194988
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,GENTAMICIN,15100,161,3732,41,502,2,2646,429,0.667757485,0.007119798,0.16503781,0.001813116,0.02219962,8.84E+09,0.117012338,0.018971388,0.652057759,0.012694369,0.222912784,0.013074178,0.015979975,0.000543295,0.071757569,0.01098007
